procuct,volume,weight,value
n_163,22.50864124,1.048634252,851.7344281
n_164,6.569425789,74.64467701,486.0391147
n_165,81.7974891,64.01063738,858.3277851
n_166,27.1066805,67.51546187,669.1585196
n_167,53.24327107,70.01283006,160.0681309
n_168,83.51173794,10.55424214,175.9116499
n_169,79.3080738,63.05168034,467.6532626
n_170,6.138262159,29.08165214,522.1541999
n_171,95.06981364,71.79552538,257.769902
n_172,4.331990646,78.35825002,728.7484266
n_173,47.65711112,7.44190038,154.2190137
n_174,42.31117744,6.278694378,397.6432699
n_175,36.11113789,14.93578052,319.0597175
n_176,49.90165323,86.94698905,758.2121641
n_177,55.63919717,96.06515922,780.0132578
n_178,39.64526189,12.11743688,385.9479304
n_179,92.30428547,97.10945938,816.2368773
n_180,37.45055531,17.65820969,465.5827506
n_181,24.51479819,60.38079908,875.4125959
n_182,82.03288576,20.6607216,396.3734653
n_183,15.33498689,87.31734122,545.087111
n_184,68.95131855,44.35276922,784.1415136
n_185,72.05976287,94.85902472,913.0735055
n_186,11.51788204,47.2591302,694.3952179
n_187,85.86501918,31.03408267,753.9632612
n_188,22.78357113,1.100845272,803.2215438
n_189,83.23269094,7.063152091,876.8058901
n_190,37.62216462,43.0337217,296.3060994
n_191,6.835588601,95.28648748,462.8479084
n_192,57.55040804,71.02754057,768.8590026
n_193,43.76551262,73.16720098,143.2022737
n_194,11.87915841,51.75035223,379.2255163
n_195,42.12278231,81.44697162,594.3955005
n_196,68.57778813,93.41297571,799.8325388
n_197,98.44403125,22.14553272,737.374536
n_198,90.136901,36.92395772,62.43363095
n_199,6.920140751,17.67962338,440.2848392
